,pattern,mean,std,mean-2std,mean+2std
819,4.0.dev1638270219,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
131,1.12.dev1683338168,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
124,0.1.dev18,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
727,0.5.dev1626106715,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
741,1.9.dev1,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
646,0.5.dev3,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
372,0.5.dev0,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
898,1.10.dev1666072365,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
296,0.5.dev4,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
268,0.23.dev2,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
6,3.4.dev1614183638,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
447,0.3.dev5,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
971,0.8.dev4,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
443,3.6.dev4,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
336,0.0.dev1,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
164,0.1.dev0,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
751,1.10.dev1663805381,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
629,0.0.dev14,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
94,1.5.dev0,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
526,2.0b9,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
89,0.12b0,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
57,2.3b0,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
575,2.1b3,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
964,0.9b6,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
671,0.15b0,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
553,1.3b1,0.23,0.4208325082500163,-0.6116650165000326,1.0716650165000325
462,1.10.0rc1953672119,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
576,1.10.0rc874229514,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
785,1.10.0rc1894129847,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
732,1.10.0rc1386961771,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
990,1.2.0rc964314074277,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
835,2.0.0rc162,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
906,1.10.0rc1683197724,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
198,2021.12.21.post0,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
874,2022.1.27.post2,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
813,1.10.0rc1447610012,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
135,0.10.226.post2,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
580,2022.3.30.post5,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
640,16.0.1.0.2.3,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
323,2020.5.19.post2,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
429,0.0.1.post1555824251,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
186,1.10.0rc1067777996,0.25,0.4330127018922193,-0.6160254037844386,1.1160254037844386
