,pattern,mean,std
727,0.5.dev1626106715,0.23,0.4208325082500161
164,0.1.dev0,0.23,0.4208325082500161
89,0.12b0,0.23,0.4208325082500163
526,2.0b9,0.23,0.4208325082500163
146,1.0.dev1,0.23,0.4208325082500161
819,4.0.dev1638270219,0.23,0.4208325082500161
131,1.12.dev1683338168,0.23,0.4208325082500161
124,0.1.dev18,0.23,0.4208325082500161
741,1.9.dev1,0.23,0.4208325082500161
336,0.0.dev1,0.23,0.4208325082500161
751,1.10.dev1663805381,0.23,0.4208325082500161
372,0.5.dev0,0.23,0.4208325082500161
553,1.3b1,0.23,0.4208325082500163
296,0.5.dev4,0.23,0.4208325082500161
94,1.5.dev0,0.23,0.4208325082500161
671,0.15b0,0.23,0.4208325082500163
646,0.5.dev3,0.23,0.4208325082500161
629,0.0.dev14,0.23,0.4208325082500161
898,1.10.dev1666072365,0.23,0.4208325082500161
964,0.9b6,0.23,0.4208325082500163
268,0.23.dev2,0.23,0.4208325082500161
6,3.4.dev1614183638,0.23,0.4208325082500161
443,3.6.dev4,0.23,0.4208325082500161
447,0.3.dev5,0.23,0.4208325082500161
575,2.1b3,0.23,0.4208325082500163
57,2.3b0,0.23,0.4208325082500163
971,0.8.dev4,0.23,0.4208325082500161
451,16.0.1.0.2.5,0.25,0.4330127018922193
421,2.0.0rc161,0.25,0.4330127018922193
429,0.0.1.post1555824251,0.25,0.4330127018922193
235,1.10.0rc1812620297,0.25,0.4330127018922193
507,1.2.0rc963103103172,0.25,0.4330127018922193
511,1.10.0rc838581645,0.25,0.4330127018922193
179,2015.2.5rc1,0.25,0.4330127018922193
323,2020.5.19.post2,0.25,0.4330127018922193
540,1.2.0rc976507521685,0.25,0.4330127018922193
186,1.10.0rc1067777996,0.25,0.4330127018922193
198,2021.12.21.post0,0.25,0.4330127018922193
576,1.10.0rc874229514,0.25,0.4330127018922193
580,2022.3.30.post5,0.25,0.4330127018922193
270,1.10.0rc1142973040,0.25,0.4330127018922193
640,16.0.1.0.2.3,0.25,0.4330127018922193
462,1.10.0rc1953672119,0.25,0.4330127018922193
732,1.10.0rc1386961771,0.25,0.4330127018922193
999,15.0.2.0.0.1,0.25,0.4330127018922193
990,1.2.0rc964314074277,0.25,0.4330127018922193
785,1.10.0rc1894129847,0.25,0.4330127018922193
871,1.10.0rc1399806981,0.25,0.4330127018922193
874,2022.1.27.post2,0.25,0.4330127018922193
813,1.10.0rc1447610012,0.25,0.4330127018922193
135,0.10.226.post2,0.25,0.4330127018922193
906,1.10.0rc1683197724,0.25,0.4330127018922193
835,2.0.0rc162,0.25,0.4330127018922193
534,0.0.0rc1,0.26,0.4386342439892261
489,0.1.2.post52,0.26,0.43863424398922596
487,0.3.6rc2,0.26,0.4386342439892261
356,0.1.2.post39,0.26,0.43863424398922596
483,0.0.20.post1,0.26,0.43863424398922596
598,0.8.0rc17,0.26,0.4386342439892261
204,1.16.0.post1,0.26,0.43863424398922596
972,1.8.8rc1,0.26,0.4386342439892261
880,1.0.40rc2,0.26,0.4386342439892261
937,4.3.0rc1,0.26,0.4386342439892261
367,0.1.4.post1,0.26,0.43863424398922596
936,2023.4.28.14.58.43,0.26,0.43863424398922596
827,1.1.0.post2,0.26,0.43863424398922596
197,0.0.1.post16,0.26,0.43863424398922596
257,0.6.5rc2,0.26,0.4386342439892261
915,0.10.4.post1,0.26,0.43863424398922596
311,10.1.3.post1,0.26,0.43863424398922596
531,1.1.0.post1,0.26,0.43863424398922596
