,pattern,mean,std,mean-2std
999,15.0.2.0.0.1,0.25,0.4330127018922193,-0.6160254037844386
640,16.0.1.0.2.3,0.25,0.4330127018922193,-0.6160254037844386
990,1.2.0rc964314074277,0.25,0.4330127018922193,-0.6160254037844386
732,1.10.0rc1386961771,0.25,0.4330127018922193,-0.6160254037844386
785,1.10.0rc1894129847,0.25,0.4330127018922193,-0.6160254037844386
576,1.10.0rc874229514,0.25,0.4330127018922193,-0.6160254037844386
462,1.10.0rc1953672119,0.25,0.4330127018922193,-0.6160254037844386
198,2021.12.21.post0,0.25,0.4330127018922193,-0.6160254037844386
580,2022.3.30.post5,0.25,0.4330127018922193,-0.6160254037844386
429,0.0.1.post1555824251,0.25,0.4330127018922193,-0.6160254037844386
323,2020.5.19.post2,0.25,0.4330127018922193,-0.6160254037844386
179,2015.2.5rc1,0.25,0.4330127018922193,-0.6160254037844386
511,1.10.0rc838581645,0.25,0.4330127018922193,-0.6160254037844386
507,1.2.0rc963103103172,0.25,0.4330127018922193,-0.6160254037844386
235,1.10.0rc1812620297,0.25,0.4330127018922193,-0.6160254037844386
421,2.0.0rc161,0.25,0.4330127018922193,-0.6160254037844386
451,16.0.1.0.2.5,0.25,0.4330127018922193,-0.6160254037844386
540,1.2.0rc976507521685,0.25,0.4330127018922193,-0.6160254037844386
270,1.10.0rc1142973040,0.25,0.4330127018922193,-0.6160254037844386
307,3.12.1.0b0,0.31,0.46249324319388696,-0.6149864863877739
553,1.3b1,0.23,0.4208325082500163,-0.6116650165000326
526,2.0b9,0.23,0.4208325082500163,-0.6116650165000326
964,0.9b6,0.23,0.4208325082500163,-0.6116650165000326
575,2.1b3,0.23,0.4208325082500163,-0.6116650165000326
57,2.3b0,0.23,0.4208325082500163,-0.6116650165000326
89,0.12b0,0.23,0.4208325082500163,-0.6116650165000326
671,0.15b0,0.23,0.4208325082500163,-0.6116650165000326
751,1.10.dev1663805381,0.23,0.4208325082500161,-0.6116650165000322
164,0.1.dev0,0.23,0.4208325082500161,-0.6116650165000322
336,0.0.dev1,0.23,0.4208325082500161,-0.6116650165000322
443,3.6.dev4,0.23,0.4208325082500161,-0.6116650165000322
971,0.8.dev4,0.23,0.4208325082500161,-0.6116650165000322
447,0.3.dev5,0.23,0.4208325082500161,-0.6116650165000322
6,3.4.dev1614183638,0.23,0.4208325082500161,-0.6116650165000322
268,0.23.dev2,0.23,0.4208325082500161,-0.6116650165000322
629,0.0.dev14,0.23,0.4208325082500161,-0.6116650165000322
94,1.5.dev0,0.23,0.4208325082500161,-0.6116650165000322
898,1.10.dev1666072365,0.23,0.4208325082500161,-0.6116650165000322
